년도	제목	장르	가사
2001	A Better Day	랩/힙합	A Better day 왜 날 떠나갔어 Another way 아무런 말없이 아름다웠던 우리들의 추억 이제 두번 다시 돌아오지 않아 이별이 이렇게 쉽게 다가 올 거라 예감할 수 없던 나 기쁨 슬픔을 함께 나누던 우리 그렇게 헤어져야만 했던 우리 돌이킬 수 없는 지난 시간 너와 함께 했던 동안 순수했던 아름다웠던 나날들 모두가 우리를 부러워 했던 나날들 아무것도 부러울 것이 없었던 시간들 그렇게 어두운 과거 속에 내가 너를 만난 건 행운이었어 A Better day 왜 날 떠나갔어 Another way 아무런 말없이 아름다웠던 우리들의 추억 이제 두번 다시 돌아오지 않아 Yo 의미 없는 하루하루 지치고 외로운 내 영혼에 한줄기 빛이 되어 찾아온 너 세상 무엇과도 바꿀 수 도 이루 말 할 수 조차도 없던 너의 작고 해맑았던 너의 그 눈빛 단 한번의 입맞춤으로 세상이 모두 내 것이 되고 난 행복했고 이젠 네가 없는 너의 빈자리 바라보는 이 마음속 깊은 곳의 허전함 아무것도 해줄 수 없던 A Better day 왜 날 떠나갔어 Another way 아무런 말없이 아름다웠던 우리들의 추억 이제 두번 다시 돌아오지 않아 우리 서로 사랑했던 지난 겨울로 돌아가고 싶지만 이제는 너무도 많은 시간이 지난 것을 깨달아 너무나도 빨리 흘러가는 시간 이제 내게 다가 올 또 다른 이별의 세계 뜨겁게 타고 내리는 두 뺨 위의 눈물들 희미해져 가는 추억 속의 사진들 다시 못 올 추억이라 해도 소중히 간직해줘 내게 준 우리의 아름다운 또 다른 세상 속을 향해 향해 오오오 날 다시 또 시작 하게 하게 오오오 더 이상 너를 찾진 않아 않아 오오오 미련 없이 너를 잊어 잊어 오오오 또 다른 세상 속을 향해 향해 오오오 날 다시 또 시작하게 하게 오오오 더 이상 너를 찾진 않아 않아 오오오 미련 없이 너를 잊어 잊어 오오오 A Better day 왜 날 떠나갔어 Another way 아무런 말없이 아름다웠던 우리들의 추억 이제 두번 다시 돌아오지 않아 A Better day 왜 날 떠나갔어 Another way 아무런 말없이 아름다웠던 우리들의 추억 이제 두번 다시 돌아오지 않아
2001	놀아나는 아이들	랩/힙합	어린시절 내 한 몸 받쳐 살아왔던 꿈같던 후회하기조차 없었던 나날들 정이 어쩌구 저쩌구리 하던 놈 다 내 앞에서 사라져 하염없이 내리던 내 눈물 조차 받아주지 않던 너의 뒤통수 치려거든 제대로 한방 앞뒤 가릴 것 없이 두 방 기다려 왔다는 듯이 올 것이 왔다는 듯이 태연히 아주 편안히 힘겨웠다는 듯이 한마디로 속이고 속고 거기에 놀아나는 너도 모습에 난 마음속 깊이 담아줄 수 밖에 없는 현실속에 모든 진실들은 거짓에 눌려 양심까지 속여 어 어 어 어 눈물 조차 없는 너의 모습에 또 다시 우리와 같이 마음 아파할 많은 아이들 다신 이런일 일어나지 않기를 또다시 슬픈 현실에 맘 아파하지 않기를 언젠가 이렇게 저렇게 만날 인생 여기 바닥이 부처님 손바닥 안 이란 건 너 따위도 잘 알걸 그렇게 요리조리 말장난 해 봤자 너 손해 머리 좀 굴릴 줄 알면 나대지 말고 진실이고 나발이고 조용히 입 닥치고 살아가라 그게 너의 인생에 대한 모범답안 절대절명 절대불구 이 세상 가장 소중한 마음의 불구 저 친구들 사이로 보이는 벽 넘어 비뚤어진 사각형에 서서 돈 명예 행복까지 저울질할 때 넌 원맨 쇼 나 together forever 영원히 우린 하나 하나 하나 하나 하나 하나 하나 다시 하나가 되기 위한 전초전일뿐 콩 나와라 팥 나와라 20원 인생 너희들 정말 불쌍하지도 않냐 콩 나와라 팥 나와라 신경쫌 그만 쓰지 그래 야 뚜껑 열리네 콩 나와라 팥 나와라 내 인생에서 넌 거머리 중에 하나 하나 콩 나와라 팥 나와라 내 인생에서 넌 절대필요악 모든 진실들은 거짓으로 가려지지만 언젠가는 알아주길 바래 우리 하나가 되어주길 그것만을 알아주는 맘으로 눈물 조차 없는 너의 모습에 또 다시 우리와 같이 마음 아파할 많은 아이들 다신 이런일 일어나지 않기를 또다시 슬픈 현실에 맘 아파하지 않기를 콩 나와라 팥 나와라 20원 인생 너희들 정말 불쌍하지도 않냐 콩 나와라 팥 나와라 신경쫌 그만 쓰지 그래 야 뚜껑 열리네 콩 나와라 팥 나와라 내 인생에서 넌 거머리 중에 하나 하나 콩 나와라 팥 나와라 내 인생에서 넌 절대필요악
2001	Just Say Goodbye	랩/힙합	떠나는 너의 모습 바라보면서 견딜 수 없어 눈물 따윈 보이고 싶지 않았는데 미안해 이런 내 모습에 Just say goodbye 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용없겠죠 say goodbye 주위엔 너의 흔적남아 더 힘들고 잠들 수 없어 우리 기억 눈물과 함께 흘리고 행복해 널 위해 기도해 Just say goodbye 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용없겠죠 Just say goodbye 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용없겠죠 say goodbye 못다한 얘기가 아직 남아 이렇게 끝낼 수가 없어 Just say goodbye 돌아올 순 없나요 널 잡고싶지만 그럴 용기가 없죠 Just say goodbye 너를 처음 보았던 날 나는 숨이 멎었었지 너무 아름다운 너의 모습 정말 눈이 부신 너 그런 네가 기대였을 때 나의 손을 잡았을 때 다신 놓치지 않길 영원하길 바랬는데 다신 볼 수 없겠죠 널 잡고 싶지만 아무 소용없겠죠 Just say goodbye 너를 이렇게 보내는 것이 내겐 후회로 남겠지 사랑했던 기억들은 그저 추억이 되겠지 그게 더욱 슬프게 하고 추억이 너무 많아 아픔은 계속되고 또 계속되고
2001	Enter The Dragon	랩/힙합	지난 5년간 축적해온 Energy 난 Pow 내 몸에선 불을 내뿜지 그렇게도 오늘만을 기다린 나 이제 싹 정리 할 때가 왔지 난 제겨 내 몸 안에 용솟음 치는 라임 뱉어 용의 몸짓 마치 춤추는 듯한 신들린 듯한 발광 Now in Get you to Fall in 이 음악에 미쳐 나를 바쳐 어느덧 22년이란 시간 흘러보니 인정사정 없고 거침없는 사회 생활속에 찌든 그리고 병든 나약해진 내 모습이 어느 순간 거울 속에 비쳐 나는 미쳐 달성하지 못한 내 꿈을 위한 새로운 나를 결심 Best of the dragon Enter the JTL 쉽게 쓰러지진 않아 지켜봐 두 눈으로 난 네가 생각했던 만큼 약하지 않아 쉽게 무너지진 않아 지켜봐 그 눈으로 난 네가 무너지는 날까지 싸워 이겨내겠어 뭐야 네가 뭐야 겨우 고작 그것 뿐이야 더 질러봐 힘껏 내가 쓰러질때까지 힘껏 뻗어보란 말이야 아픔의 끝을 지나 새롭게 시작하네 뜨겁게 타오르는 저 태양에 뻗어나가는 절권도와 같이 마치 미친 용의 몸부림이 만들어 내는 거대한 불씨 여긴 사방이 막힌 Deathrow 피할 수 없어 절대로 오직 살아 남기 위해 싸우겠어 그리고 또 싸우겠어 You know Lee's style 그리고 널 무릎 꿇게 하겠어 후회하지마 너무 늦어 버렸으니까 내 자신 외에 그 누구도 믿지 않아 난 또 We'll take ya down Yo Nigga we'll be comin' We'll wipe ya out Yo Nigga we'll be comin' We'll put ya down Yo Nigga we'll be comin' We'll strike ya out Check it near now We'll take ya down Yo Nigga we'll be comin' We'll wipe ya out Yo Nigga we'll be comin' We'll put ya down Yo Nigga we'll be comin' We'll rock you and knock you Nigga we'll be comin' 너에겐 마지막 시간이 온거야 이제 더는 너 갈 곳이 없어 피하려 하지마 너의 최후인 거야 We'll take ya down Yo Nigga we'll be comin' We'll wipe ya out Yo Nigga we'll be comin' We'll put ya down Yo Nigga we'll be comin' We'll strike ya out Check it near now We'll take ya down Yo Nigga we'll be comin' We'll wipe ya out Yo Nigga we'll be comin' We'll put ya down Yo Nigga we'll be comin' We'll rock you and knock you Nigga we'll be comin' We're Still alive
2001	Mistake	랩/힙합	내게 보인 미소들은 마치 완벽했던 연극같이 함께한 시간들은 이제 갔지 너를 이젠 다시 볼 수 없게 됐지 내게 보인 미소들은 마치 완벽했던 연극같이 함께한 시간들은 이제 갔지 너를 이젠 다시 볼 수 없게 됐지 이젠 나도 널 잊겠어 내 모습 어디서도 찾지마 그렇게 그렇게 미안해 하지마 너의 모든 기억 지워줄게 떠난 너를 뒤로한 채 나의 길을 간다 남겨진 꿈을 위해 너와 함께 지낸 모든 시간 이젠 내게서 달아나 모두 지워졌어 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 더 이상 미련 없이 모두 지워줄게 이젠 내게서 아주 멀리 떠나가줘 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 나도 널 잊겠어 이젠 뒤 돌아 보지않아 내 모든 기억 가져 가버려 함께했던 많은 날 동안 오직 너만 생각했는데 너만 바라봤는데 몰랐어 너만은 변하지 않을 줄 알았던 나 바보처럼 믿어 왔었던 나 마음속엔 날 벌써 지워 놓고 왜 이제 와서 내게 서툰 변명을 해 그와 나의 사일 왔다 갔다 해왔던 연극 끝이야 이젠 사라져버려 떠난 너를 뒤로한 채 나의 길을 간다 남겨진 꿈을 위해 너와 함께 만든 추억 마저 내게 내게서 가져가 모두 지워졌어 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 더 이상 미련 없이 모두 지워줄게 이젠 내게서 아주 멀리 떠나가줘 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 나도 널 잊겠어 이젠 뒤 돌아 보지않아 내 모든 기억 가져가 버려 날 버린 넌 이제 자유롭겠지 지난날을 뒤로한 채 미련 따윈 필요 없어 내 남겨진 꿈을 위해 다시 시작하겠어 이젠 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 더 이상 미련 없이 모두 지워줄게 이젠 내게서 아주 멀리 떠나가줘 착각하지마 오해하지마 네가 내 곁에 없어도 난 괜찮아 나도 널 잊겠어 이제 뒤 돌아 보지않아 내 모든 기억 가져가 버려
2001	Really Want U	랩/힙합	너만을 위한 사랑을 이젠 알아 너만이 나의 전부였단 걸 이젠 알아 난 애써 웃어보며 너를 보내보려 오히려 밝은 표정 난 지어보지만 네가 내게 주고간 썬글래스 속으로 감춰진 눈물들이 흘러내리는데 아직 이별은 조금 서툰 나였기에 웃으며 보내준다고 많이 아프겠지만 눈물을 감추려 아무리 애써봐도 I really miss you 떠난 넌 아무 말이 없고 따뜻한 햇살마저 어제처럼 나를 비추는데 oh I really want you 아무일 없이 하루를 살고 지내지만 세상은 아직 변함없이 그대로인데 떠나간 빈자리는 내겐 너무나도 허전하기만 한데 널 잊을 수가 없는데 무뎌져 버린 기억속에 그 언젠가 네가 잊혀지겠지 네가 보고싶겠지 눈물은 네게 보이지 않을게 더는 웃으며 보내준다고 많이 아프겠지만 눈물을 감추려 아무리 애써봐도 I really miss you 떠난 넌 아무 말이 없고 따뜻한 햇살마저 어제처럼 나를 비추는데 oh I really want you 떠나버린 너의 작은 모습이 너와 함께 한 즐거운 시간들이 내겐 아련한 기억으로 변해가고 가고 이제는 내게서 두 번 다시 볼 수 없나 없나 내 맘속에 남겨진 너의 모든 기억들을 이제는 잊고 살아야겠지 하지만 쉽게 잊혀지지 않겠지 웃는 너의 모습 지워지지 않는 너의 모습 이렇게 매일밤 너를 그리며 오늘도 잠 못 들고 있네 언젠가 오랜 시간이 다음 세상에 우리 다시 사랑하고 있겠지 영원히 웃으며 보내준다고 많이 아프겠지만 눈물을 감추려 아무리 애써봐도 I really miss you 떠난 넌 아무 말이 없고 따뜻한 햇살마저 어제처럼 나를 비추는데 oh I really want you 웃으며 보내준다고 많이 아프겠지만 눈물을 감추려 아무리 애써봐도 I really miss you 떠난 넌 아무 말이 없고 따뜻한 햇살마저 어제처럼 나를 비추는데 oh I really want you
2001	Hard For Me	랩/힙합	It is so hard for me Hard for me  숨겨왔던 모든걸  Hard for me 기대 없는 세상이라  Hard for me Don't go  and fold your heart  바쁘게만 돌아가는걸  현실에 숨겨진  진실의 의미도 모른 채  다 그렇게 살고  I'm breaking  I'm shaking Cause  I can't believe  You all seem to blame it on me  It is so hard for me To get  it all together It's Hard for me  넌 정말 모르니  Hard for me 소중한걸 잃었다  하지는 마 네 옆에 있어 줘  모두 지친 현실속에서  외로움과 함께  나이가 들어가고 있어  아직도 모르니  I'm breaking  I'm shaking Cause  I can't believe  You all seem to blame it on me  It is so hard for me To get  it all together It's Hard for me  넌 정말 모르니  Hard for me  소중한걸 잃었다 하지는 마  Don't no It is so hard for me  To get it all together  It's Hard for me  넌 정말 모르니  Hard for me  소중한걸 잃었다  하지는 마 네 옆에 있어 줘  멈춰서 넌 알아  피하려고만 하지마  끝이란 것은 없어 It is so hard for me  우리들 가슴에 가득 차야 할  사랑을 잃어버렸나  되풀이되는 깊은 한숨뿐  Don't you no It is so   hard for me  You cannot believe it  이기심으로 가득채워진   잃어만 가는  소중한 것들  Don't you no It is so   hard for me  To get it all together It's Hard for me 넌 정말 모르니 Hard for me 소중한걸 잃었다 하지는 마 자기 자신이 보는 것만이 다가 아닌 걸 넌 모르니 저기 멀리 빛나는 나의 별이 말해주듯 끝이라 한적 없어 fly high my world 속으로  나아가리라 저 수많은 별들과 같이 다시 날고 싶은 마음인걸 It is so hard for me To get it all together It's Hard for me 넌 정말 모르니 Hard for me 소중한걸 잃었다 하지는 마 네 옆에 있었어
2001	From Fan	랩/힙합	나를 바라보는 너희들의 눈을 생각했어 너무 부끄럽고 힘도 많이 들었지만 너희들 만큼은 아니였을 꺼야 눈처럼 하얀 사랑을 너희들의 눈으로 바라보며 당신이 가장 힘들단거 알면서 너무 속상하죠 너를 용서 하려해도 눈물이 나죠 날 속였던 사람이 나를 아직도 믿으라고 하죠 또 난 믿고 싶죠 모든게 거짓이라도 한번에 믿음은 너를 위한 나의 맹세 영원히 기다려준단 말도 잊혀져 가겠지만 BABY 매일같이 널 그리며 살고 싶어요 어디에서나 당신 편일 수 밖에 없는 것 I just wanna let a know that I still love you so 나의 바람은 사랑하는 너 하나 뿐야 아무리 힘들어도 널 위한 마음으로 다 이겨낼 수 있어 아름답던 생각들만 우리 함께해 우린 언제나 함께 할 꺼란 믿음이 있어 아무리 힘들어도 널 위한 마음으로 다 이겨 낼 수 있어 영원히 하자고 했던 말 모두 거짓이 아니였단 걸 문득 너 하얀 눈물보고 깨달았지 너의 사랑이 무언지 끝이 없는지 보고 듣고 느끼고서야 다시 눈물 흘렸던건 내가 너무 어리석어서 일꺼야 한번에 믿음은 너를 위한 나의 맹세 영원히 기다려준단 말도 잊혀져 가겠지만 BABY 매일같이 널 그리며 살고싶어요 어디에서나 당신 편일 수 밖에 없는 것 늦은 저녁 집 앞에서 너 추위에 떨며 사람들에 눈초리 마져도 널 아프게 했어 아무것도 해줄 수가 없었던 나 인걸 용서해 줄래 바보같이 상처만 주었던 나를 I just wanna let a know that I still love you so 나의 바람은 사랑하는 너 하나 뿐야 아무리 힘들어도 널 위한 마음으로 다 이겨낼 수 있어 아름답던 생각들만 우리 함께해 우린 언제나 함께 할 꺼란 믿음이 있어 아무리 힘들어도 널 위한 마음으로 다 이겨 낼 수 있어 I just wanna let a know that I still love you so 나의 바람은 사랑하는 너 하나 뿐야 아무리 힘들어도 널 위한 마음으로 다 이겨낼 수 있어 아름답던 생각들만 우리 함께해 우린 언제나 함께 할 꺼란 믿음이 있어 아무리 힘들어도 널 위한 마음으로 다 이겨 낼 수 있어
2001	My Lecon	랩/힙합	Ya think your high Ya think your cool Ya think your great 하늘이 높은 줄도 모르고 또 날뛰는 널 보고 있자면은 코메디가 따로 없어 이젠 너의 잘난 척이 너무 괴로워서 귀를 막고 더는 못듣겠어 언제나 너의 잘난 맛에 남을 무시 꼭 자신은 뭐든 할 수 있는듯이 Hey 크게 착각하고 있어 니 생각엔 왕자 내 생각엔 환자 꼭 보면 있는 놈이 없는 사람 무시 좀 높은 자리 있어 이리저리 으시 그렇게 까불다 너 정말 다친다 니 잘난 그 코가 점점 더 커진다 Boom 뚠다 천장을 뚠다 니 콧대가 이젠 하늘을 뚠다 너는 아나 머지 않아 너무 무거워 땅에 꼬라 밖을 것을 넌 교만에 가득 차 두 눈을 가린 채 저 하늘을 향해 두 팔을 뻗어 보지만 넌 이룰 수 없어 또 닿을 수 없어 허황된 자만심 넌 언제나 그 자리야 어릴 적 너 싸움 좀 했지 우쭐대던 거만하던 uh 힘없는 아이들 때리고 괴롭힌 넌 이제 그들 밑에서 일하지 너 잘난 거 하나 없으면서 잘난 줄 알고 남을 욕만하지 Yo 앨범 좀 팔고 그런 소리하지 니 노래 아무도 안 들어 모든걸 내 기지는 만점 열을 맞추기를 바라는 너는 정말 한책 그건 지나친 욕심 내주제를 알지 못하는 너는 항상 그냥 그 자리 넌 교만에 가득 차 두 눈을 가린 채 저 하늘을 향해 두 팔을 뻗어 보지만 넌 이룰 수 없어 또 닿을 수 없어 허황된 자만심 넌 언제나 그 자리야 방심은 금물 너는 우물 안에 개구리 너는 아니 그걸 모르지 자신이 최고라고 믿고 떠들고 항상 착각 속에 살고 겸손 그건 네게 필요한 My Lecon 너의 personality 뛰는 놈 위에 나는 나 있고 너는 그걸 명심 뒤통수 조심 이기심이 만든 욕망이 너를 멸망시켜도 너는 정신 못 차릴 게 뻔하고 곁에 모든 소중한 이들이 떠난 후 끝내 후회하고 두 눈을 감고 넌 교만에 가득 차 두 눈을 가린 채 저 하늘을 향해 두 팔을 뻗어 보지만 넌 이룰 수 없어 또 닿을 수 없어 허황된 자만심 넌 언제나 그 자리야
2001	Bow Wow	랩/힙합	10. BOW WOW    Yeah 2 double 0 2 JTL. it's comin' at ya    집에 오자마자 매일 잠 안자고 밤새 컴퓨터와 씨름하고 있고  또 학교에서 자다 걸려 얻어터지고 다시 모니터 앞에서면 눈이 커지고  Bow wow wow e py yo e py yeah! 우리옆집 회사원 매일 출근하고  일 안하고 스타 하랴 눈이 커지고 김 이사에게 걸려 얻어터지고  Bow wow wow e py yo e py yeah! 이런 나를 모두 미쳤다고 하네  Bow wow wow e py yo e py yeah! 날 그냥 좀 내버려둬  난 지금의 나일 뿐 누가 뭐라 해도 상관하지 않아 Bow wow wow e py yo e py yeah!  조금만 기다려봐 세상을 바꿔버릴 나를 Bow wow wow e py yo e py yeah!  Bow wow wow e py yo e py yeah!    My friend 지금 힙합에 미쳤다지 이어폰 귀에 걸고  빠질 날이 없지 My friend 지금 힙합이 전부지  Bow wow wow e py yo e py yeah! 지금 만화에 미친 너 제정신 아니지  학교수업 다 빼먹고 만화방 간다지 만화로 가득찬 세상을 바라고있지  Bow wow wow e py yo e py yeah! 이런 나를 모두 미쳤다고 하네  Bow wow wow e py yo e py yeah! 날 그냥 좀 내버려둬  난 지금의 나일 뿐 누가 뭐라 해도 상관하지 않아 Bow wow wow e py yo e py yeah!  조금만 기다려봐 세상을 바꿔버릴 나를 Bow wow wow e py yo e py yeah!    내가 원했고 바랬던 내가 꿈꿔왔던 그 누가 뭐라 건 상관하건 말건  모두가 날 비뚤게만 바라보는 시선 뒤에 그만둘 수 없었던 건  단순히 내 자신이 행복하다고 느껴서 그냥 내가 좋아서 누가 뭐라 해도 uhh!  내가 느끼는 대로 내 뜻대로 내 열정 이대로 당당히 펼쳐 나갈 거야 이대로 내 열정으로  난 지금의 나일 뿐 누가 뭐라 해도 상관하지 않아 Bow wow wow e py yo e py yeah!  조금만 기다려봐 세상을 바꿔버릴 나를 Bow wow wow e py yo e py yeah!  내가 꿈꿔온 세상 내 날개를 활짝 펼칠 수 있게 Bow wow wow e py yo e py yeah!  조금만 지켜봐 줘 세상을 바꿔버릴 나를 Bow wow wow e py yo e py yeah!  Ha ha . . . 2002 JTL. yo! DJ Wreckx
2003	헤아릴 수 없을 만큼	랩/힙합	어떤 말로도 표현을 할 수 없을 것 같아 처음으로 나에게 찾아온 이런 느낌 얼만큼이라는 말은 할 수 없을 것 같아 그 무엇과도 바꿀 수가 비교할 수가 없는 내 마음 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 사랑한다는 그 말을 나는 이제야 알 것 같아 함께 하는 것 만으로 모든 세상이 아름다워 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 내 안에 너무나 깊던 또 너무나 많았던 슬픔의 흔적들 하지만 이젠 그 모든 슬픔은 내게 어제로 지난 거야 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 연인 나에겐 그대만이 그 이름으로 영원히 남으리 내게 영원함을 가르쳐 줄 하나뿐인 이름이 되리
2003	왜	랩/힙합	정말일까 우리 끝났다는 것 난 아직도 그 단어가 너무 어색할뿐인데 정말일까 네가 떠났다는 거 난 아직도 그 자리에 남아있을 뿐인데 이렇게 네가 없는 나는  결코 강하지 않아 나의 친구는 슬픈 나를 보며 그래선 안돼 라고 말하지만 어째서 왜 왜 왜 남자는 울면 안되는거야 왜 왜 왜 나는 견뎌야만 해 내 내 내 모든것이 널 이젠 나 어떻게 잊어야 해 어떻게 정말일까 네가 떠났다는 것 난 아직도 내 맘속에 널 지울수가 없는데 이렇게 네가 없는 나는  한없이 약해질 뿐야 나의 친구는 슬픈 나를 보며 견뎌내라고 내게 말하지만 어째서 왜 왜 왜 남자는 울면 안되는거야 왜 왜 왜 나는 견뎌야만 해 내 내 내 모든것이 널 이젠 나 어떻게 잊어야 해 숨쉰다는 것 조차 너무나도 힘들어 아무것도 나는 바라볼 수가 없어 왜 왜 왜 남자는 울면 안되는거야 왜 왜 왜 나는 견뎌야만 해 내 내 내 모든것이 널 이젠 나 어떻게 잊어야 해 내게 가르쳐 줘 왜 왜 왜 남자는 울면 안되는거야 왜 왜 왜 나는 견뎌야만 해 내 내 내 모든것이 널 이젠 나 어떻게 잊어야 해 내게 가르쳐 줄래
2003	헤아릴 수 없을 만큼	랩/힙합	어떤 말로도 표현을 할 수 없을 것 같아 처음으로 나에게 찾아온 이런 느낌 얼만큼이라는 말은 할 수 없을 것 같아 그 무엇과도 바꿀 수가 비교할 수가 없는 내 마음 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 사랑한다는 그 말을 나는 이제야 알 것 같아 함께 하는 것 만으로 모든 세상이 아름다워 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 내 안에 너무나 깊던 또 너무나 많았던 슬픔의 흔적들 하지만 이젠 그 모든 슬픔은 내게 어제로 지난 거야 그댄 어둡던 내 가슴을 밝은 빛으로 채웠지 이대로 나는 끝없이 노래부르리 기쁜 우리들의 사랑을 연인 나에겐 그대만이 그 이름으로 영원히 남으리 내게 영원함을 가르쳐 줄 하나뿐인 이름이 되리
